Kood EMTAK 2008;Tegevusala tekst EMTAK 2008;Kood EMTAK 2025;Tegevusala tekst EMTAK 2025;Märkused
22;Kummi- ja plasttoodete tootmine;22;Kummi- ja plasttoodete tootmine;
22;Kummi- ja plasttoodete tootmine;23;Muude mittemetalsetest mineraalidest toodete tootmine;
221;Kummitoodete tootmine;152;Jalatsitootmine;
221;Kummitoodete tootmine;221;Kummitoodete tootmine;
2211;"Kummirehvide ja sisekummide tootmine; kummirehvide protekteerimine ja taastamine";2211;Kummirehvide tootmine, protekteerimine ja taastamine ning sisekummide tootmine;
22111;"Kummirehvide ja sisekummide tootmine; kummirehvide protekteerimine ja taastamine";22111;Kummirehvide tootmine, protekteerimine ja taastamine ning sisekummide tootmine;
2219;Muude kummitoodete tootmine;1520;Jalatsitootmine;
2219;Muude kummitoodete tootmine;2212;Muude kummitoodete tootmine;
22191;Kummiplaatide, -lehtede, -torude, -voolikute jms tootmine;22121;Muude kummitoodete tootmine;
22199;Mujal liigitamata kummitoodete tootmine;15201;Jalatsitootmine;
22199;Mujal liigitamata kummitoodete tootmine;22121;Muude kummitoodete tootmine;
222;Plasttoodete tootmine;152;Jalatsitootmine;
222;Plasttoodete tootmine;222;Plasttoodete tootmine;
222;Plasttoodete tootmine;236;Betoon-, tsement- ja kipstoodete tootmine;
2221;Plastplaatide, -lehtede, -torude ja -profiilide tootmine;2221;Plastplaatide, -lehtede, -torude ja -profiilide tootmine;
2221;Plastplaatide, -lehtede, -torude ja -profiilide tootmine;2225;Plasttoodete töötlemine ja viimistlemine;
22211;Plastplaatide, -lehtede, -profiilide, -torude, -voolikute, -liitmike jms toodete tootmine;22211;Plastplaatide, -lehtede, -torude ja -profiilide tootmine;
22211;Plastplaatide, -lehtede, -profiilide, -torude, -voolikute, -liitmike jms toodete tootmine;22251;Plasttoodete töötlemine ja viimistlemine;
2222;Plasttaara tootmine;2222;Plasttaara tootmine;
2222;Plasttaara tootmine;2225;Plasttoodete töötlemine ja viimistlemine;
22221;Plasttaara tootmine;22221;Plasttaara tootmine;
22221;Plasttaara tootmine;22251;Plasttoodete töötlemine ja viimistlemine;
2223;Plastist ehitustoodete tootmine;2223;Plastuste ja -akende tootmine;
2223;Plastist ehitustoodete tootmine;2224;Plastist ehitustoodete tootmine;
2223;Plastist ehitustoodete tootmine;2225;Plasttoodete töötlemine ja viimistlemine;
2223;Plastist ehitustoodete tootmine;2366;Muude betoon-, tsement- ja kipstoodete tootmine;
22231;Plastist sanitaarseadmete tootmine (vannid, kraanikausid jne);22241;Plastist sanitaartoodete tootmine (vannid, kraanikausid jne);
22232;Plastuste, -akende, -vaheseinte jms tootmine;22231;Plastuste, -akende, -vaheseinte jms tootmine;
22239;Muude plastist ehitustoodete tootmine;22249;Muude plastist ehitustoodete tootmine;
22239;Muude plastist ehitustoodete tootmine;22251;Plasttoodete töötlemine ja viimistlemine;
22239;Muude plastist ehitustoodete tootmine;23661;Muude betoon-, tsement- ja kipstoodete tootmine;
2229;Muude plasttoodete tootmine;1520;Jalatsitootmine;
2229;Muude plasttoodete tootmine;2221;Plastplaatide, -lehtede, -torude ja -profiilide tootmine;
2229;Muude plasttoodete tootmine;2225;Plasttoodete töötlemine ja viimistlemine;
2229;Muude plasttoodete tootmine;2226;Muude plasttoodete tootmine;
22291;Muude plasttoodete tootmine;15201;Jalatsitootmine;
22291;Muude plasttoodete tootmine;22211;Plastplaatide, -lehtede, -torude ja -profiilide tootmine;
22291;Muude plasttoodete tootmine;22251;Plasttoodete töötlemine ja viimistlemine;
22291;Muude plasttoodete tootmine;22261;Muude plasttoodete tootmine;
23;Muude mittemetalsetest mineraalidest toodete tootmine;23;Muude mittemetalsetest mineraalidest toodete tootmine;
23;Muude mittemetalsetest mineraalidest toodete tootmine;29;Mootorsõidukite, haagiste ja poolhaagiste tootmine;
23;Muude mittemetalsetest mineraalidest toodete tootmine;31;Mööblitootmine;
231;Klaasi ja klaastoodete tootmine;231;Klaasi ja klaastoodete tootmine;
231;Klaasi ja klaastoodete tootmine;293;Mootorsõidukite osade ja lisaseadmete tootmine;
2311;Lehtklaasi tootmine;2311;Lehtklaasi tootmine;
23111;Lehtklaasi tootmine;23111;Lehtklaasi tootmine;
2312;Lehtklaasi vormimine ja töötlemine;2312;Lehtklaasi vormimine ja töötlemine;
2312;Lehtklaasi vormimine ja töötlemine;2932;Mootorsõidukite muude osade ja lisaseadmete tootmine;
23121;Lehtklaasi vormimine ja töötlemine;23121;Lehtklaasi vormimine ja töötlemine;
23121;Lehtklaasi vormimine ja töötlemine;29321;Mootorsõidukite muude osade ja lisaseadmete tootmine;
2313;Klaasanumate tootmine;2313;Klaasanumate tootmine;
2313;Klaasanumate tootmine;2315;Muu klaasi tootmine ja töötlemine, sh tehniline klaas;
23131;Klaasnõude jm sisekujunduses kasutatavate klaasesemete tootmine;23131;Klaasnõude (v.a klaastaara) ja sisekujunduses vm kasutatavate klaasesemete tootmine;
23132;Klaastaara tootmine;23132;Klaastaara tootmine;
23132;Klaastaara tootmine;23159;Muude klaastoodete ja tehnilise klaasi tootmine;
2314;Klaaskiutootmine;2314;Klaaskiutootmine;
23141;Klaaskiutootmine;23141;Klaaskiutootmine;
2319;Muu klaasi tootmine ja töötlemine, sh tehniline klaas;2315;Muu klaasi tootmine ja töötlemine, sh tehniline klaas;
23191;Klaasist ehitusmaterjalide tootmine;23151;Klaasist ehitusmaterjalide tootmine;
23191;Klaasist ehitusmaterjalide tootmine;23159;Muude klaastoodete ja tehnilise klaasi tootmine;
23199;Muude klaastoodete ja tehnilise klaasi tootmine;23159;Muude klaastoodete ja tehnilise klaasi tootmine;
232;Tulekindlate toodete tootmine;232;Tulekindlate toodete tootmine;
2320;Tulekindlate toodete tootmine;2320;Tulekindlate toodete tootmine;
23201;Tulekindlate toodete tootmine;23201;Tulekindlate toodete tootmine;
233;Savist ehitusmaterjalide tootmine;233;Savist ehitusmaterjalide tootmine;
2331;Keraamiliste kivide ja plaatide tootmine;2331;Keraamiliste kivide ja plaatide tootmine;
23311;Keraamiliste kivide ja plaatide tootmine;23311;Keraamiliste kivide ja plaatide tootmine;
2332;Põletatud savist telliste, kivide ja muude ehitustoodete tootmine;2332;Põletatud savist telliste, kivide ja muude ehitustoodete tootmine;
23321;Põletatud savist telliste, kivide ja muude ehitustoodete tootmine;23321;Põletatud savist telliste, kivide ja muude ehitustoodete tootmine;
234;Muude portselan- ja keraamikatoodete tootmine;234;Muude portselan- ja keraamikatoodete tootmine;
234;Muude portselan- ja keraamikatoodete tootmine;310;Mööblitootmine;
2341;Kodu- ja ehiskeraamika tootmine;2341;Kodu- ja ehiskeraamika tootmine;
23411;Kodu- ja ehiskeraamika tootmine;23411;Kodu- ja ehiskeraamika tootmine;
2342;Keraamiliste sanitaarseadmete tootmine;2342;Keraamiliste sanitaarseadmete tootmine;
2342;Keraamiliste sanitaarseadmete tootmine;3100;Mööblitootmine;
23421;Keraamiliste sanitaarseadmete tootmine;23421;Keraamiliste sanitaarseadmete tootmine;
23421;Keraamiliste sanitaarseadmete tootmine;31001;Mööbli (v.a madratsite) tootmine;
2343;Keraamiliste isolaatorite ja isolatsioonielementide tootmine;2343;Keraamiliste isolaatorite ja isolatsioonielementide tootmine;
23431;Keraamiliste isolaatorite ja isolatsioonielementide tootmine;23431;Keraamiliste isolaatorite ja isolatsioonielementide tootmine;
2344;Muu tehnilise keraamika tootmine;2344;Muu tehnilise keraamika tootmine;
23441;Muu tehnilise keraamika tootmine;23441;Muu tehnilise keraamika tootmine;
2349;Muu keraamika tootmine;2341;Kodu- ja ehiskeraamika tootmine;
2349;Muu keraamika tootmine;2345;Muu keraamika tootmine;
23491;Muu keraamika tootmine;23411;Kodu- ja ehiskeraamika tootmine;
23491;Muu keraamika tootmine;23451;Muu keraamika tootmine;
235;Tsemendi-, lubja- ja kipsitootmine;235;Tsemendi-, lubja- ja kipsitootmine;
2351;Tsemenditootmine;2351;Tsemenditootmine;
23511;Tsemenditootmine;23511;Tsemenditootmine;
2352;Lubja- ja kipsitootmine;2352;Lubja- ja kipsitootmine;
23521;Lubja- ja kipsitootmine;23521;Lubja- ja kipsitootmine;
236;Betoon-, tsement- ja kipstoodete tootmine;236;Betoon-, tsement- ja kipstoodete tootmine;
2361;Betoonist ehitustoodete tootmine;2361;Betoonist ehitustoodete tootmine;
23611;Kokkupandavate betoonehitiste ja nende elementide tootmine;23611;Kokkupandavate betoonehitiste ja nende elementide tootmine;
23619;Betoonist muude ehitustoodete tootmine;23619;Betoonist muude ehitustoodete tootmine;
2362;Kipsist ehitustoodete tootmine;2362;Kipsist ehitustoodete tootmine;
23621;Kipsist ehitustoodete tootmine;23621;Kipsist ehitustoodete tootmine;
2363;Valmis betoonisegu tootmine;2363;Valmis betoonisegu tootmine;
23631;Valmis betoonisegu tootmine;23631;Valmis betoonisegu tootmine;
2364;Mörditootmine;2364;Mörditootmine;
23641;Mörditootmine;23641;Mörditootmine;
2365;Kiudtsemendi tootmine;2365;Kiudtsemendi tootmine;
23651;Kiudtsemendi tootmine;23651;Kiudtsemendi tootmine;
2369;Muude betoon-, kips- ja tsementtoodete tootmine;2366;Muude betoon-, tsement- ja kipstoodete tootmine;
23691;Muude betoon-, kips- ja tsementtoodete tootmine;23661;Muude betoon-, tsement- ja kipstoodete tootmine;
237;Kivilõikamine, -vormimine ja -viimistlus;237;Kivilõikamine, -vormimine ja -viimistlus;
2370;Kivilõikamine, -vormimine ja -viimistlus;2370;Kivilõikamine, -vormimine ja -viimistlus;
23701;Looduskivist hauakivide, -plaatide jms valmistamine;23701;Looduskivist hauakivide, -plaatide jms valmistamine;
23702;Paekivist ja dolomiidist ehitusmaterjalide jm toodete tootmine;23702;Paekivist ja dolomiidist ehitusmaterjalide jm toodete tootmine;
23709;Graniidist, marmorist jm looduslikust kivist toodete tootmine;23703;Graniidist, marmorist jm looduslikust kivist toodete tootmine;
239;Mujal liigitamata abrasiivtoodete ja mittemetalsetest mineraalidest toodete tootmine;239;Mujal liigitamata abrasiivtoodete ja mittemetalsetest mineraalidest toodete tootmine;
2391;Abrasiivtoodete tootmine;2391;Abrasiivtoodete tootmine;
23911;Abrasiivtoodete tootmine;23911;Abrasiivtoodete tootmine;
2399;Mujal liigitamata muude mittemetalsetest mineraalidest toodete tootmine;2399;Mujal liigitamata muude mittemetalsetest mineraalidest toodete tootmine;
23991;Mujal liigitamata muude mittemetalsetest mineraalidest toodete tootmine;23991;Mujal liigitamata muude mittemetalsetest mineraalidest toodete tootmine;
24;Metallitootmine;24;Metallitootmine;
241;Raua, terase ja ferrosulamite tootmine;241;Raua, terase ja ferrosulamite tootmine;
2410;Raua, terase ja ferrosulamite tootmine;2410;Raua, terase ja ferrosulamite tootmine;
24101;Raua, terase ja ferrosulamite tootmine;24101;Raua, terase ja ferrosulamite tootmine;
242;Terastorude, -õõnesprofiilide jms -toruliitmike tootmine;242;Terastorude, -õõnesprofiilide jms -toruliitmike tootmine;
2420;Terastorude, -õõnesprofiilide jms -toruliitmike tootmine;2420;Terastorude, -õõnesprofiilide jms -toruliitmike tootmine;
24201;Terastorude, -õõnesprofiilide jms -toruliitmike tootmine;24201;Terastorude, -õõnesprofiilide jms -toruliitmike tootmine;
243;Muude terase esmatöötlustoodete tootmine;243;Muude terase esmatöötlustoodete tootmine;
2431;Külmtõmbamine lattideks;2431;Külmtõmbamine lattideks;
24311;Külmtõmbamine lattideks;24311;Külmtõmbamine lattideks;
2432;Külmvaltsimine kitsasteks ribadeks;2432;Külmvaltsimine kitsasteks ribadeks;
24321;Külmvaltsimine kitsasteks ribadeks;24321;Külmvaltsimine kitsasteks ribadeks;
2433;Külmvormimine ja -painutamine;2433;Külmvormimine ja -painutamine;
24331;Külmvormimine ja -painutamine;24331;Külmvormimine ja -painutamine;
2434;Traadi külmtõmbamine;2434;Traadi külmtõmbamine;
24341;Traadi külmtõmbamine;24341;Traadi külmtõmbamine;
244;Vääris- ja mitteraudmetallide tootmine;244;Vääris- ja muude mitteraudmetallide tootmine;
2441;Väärismetallitootmine;2441;Väärismetallitootmine;
24411;Väärismetallitootmine;24411;Väärismetallitootmine;
2442;Alumiiniumitootmine;2442;Alumiiniumitootmine;
24421;Alumiiniumitootmine;24421;Alumiiniumitootmine;
2443;Plii-, tsingi- ja tinatootmine;2443;Plii-, tsingi- ja tinatootmine;
24431;Plii-, tsingi- ja tinatootmine;24431;Plii-, tsingi- ja tinatootmine;
2444;Vasetootmine;2444;Vasetootmine;
24441;Vasetootmine;24441;Vasetootmine;
2445;Muude mitteraudmetallide tootmine;2445;Muude mitteraudmetallide tootmine;
24451;Muude mitteraudmetallide tootmine;24451;Muude mitteraudmetallide tootmine;
2446;Tuumkütuse töötlemine;2446;Tuumkütuse töötlemine;
24461;Tuumkütuse töötlemine;24461;Tuumkütuse töötlemine;
245;Metallivalu;245;Metallivalu;
2451;Malmivalu;2451;Malmivalu;
24511;Malmivalu;24511;Malmivalu;
2452;Terasevalu;2452;Terasevalu;
24521;Terasevalu;24521;Terasevalu;
2453;Kergmetallide valu;2453;Kergmetallide valu;
2453;Kergmetallide valu;2454;Muude mitteraudmetallide valu;
24531;Kergmetallide valu;24531;Kergmetallide valu;
24531;Kergmetallide valu;24541;Muude mitteraudmetallide valu;
2454;Muude mitteraudmetallide valu;2454;Muude mitteraudmetallide valu;
24541;Muude mitteraudmetallide valu;24541;Muude mitteraudmetallide valu;
25;Metalltoodete tootmine, v.a masinad ja seadmed;24;Metallitootmine;
25;Metalltoodete tootmine, v.a masinad ja seadmed;25;Metalltoodete tootmine, v.a masinad ja seadmed;
25;Metalltoodete tootmine, v.a masinad ja seadmed;28;Mujal liigitamata masinate ja seadmete tootmine;
25;Metalltoodete tootmine, v.a masinad ja seadmed;42;Rajatiste ehitus;
251;Metallkonstruktsioonide tootmine;241;Raua, terase ja ferrosulamite tootmine;
251;Metallkonstruktsioonide tootmine;251;Metallkonstruktsioonide tootmine;
2511;Metallkonstruktsioonide ja nende osade tootmine;2410;Raua, terase ja ferrosulamite tootmine;
2511;Metallkonstruktsioonide ja nende osade tootmine;2511;Metallkonstruktsioonide ja nende osade tootmine;
25111;Kokkupandavate metallehitiste tootmine;25111;Kokkupandavate metallehitiste tootmine;
25119;Muude metallkonstruktsioonide ja nende osade tootmine;24101;Raua, terase ja ferrosulamite tootmine;
25119;Muude metallkonstruktsioonide ja nende osade tootmine;25119;Muude metallkonstruktsioonide ja nende osade tootmine;
2512;Metalluste ja -akende tootmine;2512;Metalluste ja -akende tootmine;
25121;Metalluste ja -akende tootmine;25121;Metalluste ja -akende tootmine;
252;Metallpaakide, -reservuaaride ja -mahutite tootmine;252;Metallpaakide, -reservuaaride ja -mahutite tootmine;
252;Metallpaakide, -reservuaaride ja -mahutite tootmine;282;Muude üldmasinate tootmine;
2521;Keskkütteradiaatorite ja -kuumaveekatelde tootmine;2521;Keskkütteradiaatorite, aurukatelde ja kuumaveekatelde tootmine;
2521;Keskkütteradiaatorite ja -kuumaveekatelde tootmine;2821;Ahjude, tööstusahjude ja kodumajapidamises kasutatavate püsikütteseadmete tootmine;
25211;Keskkütteradiaatorite ja keskkütte-kuumaveekatelde tootmine;25211;Keskkütteradiaatorite, aurukatelde ja kuumaveekatelde tootmine;
25211;Keskkütteradiaatorite ja keskkütte-kuumaveekatelde tootmine;28211;Ahjude, tööstusahjude ja kodumajapidamises kasutatavate püsikütteseadmete tootmine;
2529;Muude metallpaakide, -reservuaaride ja -mahutite tootmine;2522;Muude metallpaakide, -reservuaaride ja -mahutite tootmine;
25291;Muude metallpaakide, -reservuaaride ja -mahutite tootmine;25221;Muude metallpaakide, -reservuaaride ja -mahutite tootmine;
253;Aurukatelde tootmine, v.a keskkütte-kuumaveekatlad;252;Metallpaakide, -reservuaaride ja -mahutite tootmine;
253;Aurukatelde tootmine, v.a keskkütte-kuumaveekatlad;422;Tehnovõrgutrasside ehitus;
2530;Aurukatelde tootmine, v.a keskkütte-kuumaveekatlad;2521;Keskkütteradiaatorite, aurukatelde ja kuumaveekatelde tootmine;
2530;Aurukatelde tootmine, v.a keskkütte-kuumaveekatlad;4221;Vee-, gaasi- ja kanalisatsioonitrasside ehitus;
25301;Aurukatelde tootmine, v.a keskkütte-kuumaveekatlad;25211;Keskkütteradiaatorite, aurukatelde ja kuumaveekatelde tootmine;
25301;Aurukatelde tootmine, v.a keskkütte-kuumaveekatlad;42211;Vee-, gaasi- ja kanalisatsioonitrasside ehitus;
254;Relva- ja laskemoonatootmine;253;Relva- ja laskemoonatootmine;
2540;Relva- ja laskemoonatootmine;2530;Relva- ja laskemoonatootmine;
25401;Relva- ja laskemoonatootmine;25301;Relva- ja laskemoonatootmine;
255;"Metalli sepistamine, pressimine, stantsimine ja rullvaltsimine; pulbermetallurgia";254;Metalli sepistamine ja vormimine ning pulbermetallurgia;
2550;"Metalli sepistamine, pressimine, stantsimine ja rullvaltsimine; pulbermetallurgia";2540;Metalli sepistamine ja vormimine ning pulbermetallurgia;
25501;"Metalli sepistamine, pressimine, stantsimine ja rullvaltsimine; pulbermetallurgia";25401;Metalli sepistamine ja vormimine ning pulbermetallurgia;
256;"Metallitöötlus ja metallpindade katmine; mehaaniline metallitöötlus";255;"Metallitöötlus ja metallpindade katmine; mehaaniline metallitöötlus";
2561;Metallitöötlus ja metallpindade katmine;2551;Metallpindade katmine;
2561;Metallitöötlus ja metallpindade katmine;2552;Metallide kuumtöötlemine;
2561;Metallitöötlus ja metallpindade katmine;2553;Mehaaniline metallitöötlus;
25611;Metallitöötlus ja metallpindade katmine;25511;Metallpindade katmine;
25611;Metallitöötlus ja metallpindade katmine;25521;Metallide kuumtöötlemine;
25611;Metallitöötlus ja metallpindade katmine;25531;Mehaaniline metallitöötlus;
2562;Mehaaniline metallitöötlus;2553;Mehaaniline metallitöötlus;
25621;Mehaaniline metallitöötlus;25531;Mehaaniline metallitöötlus;
257;Lõike- ja tööriistade ning rauakaupade tootmine;256;Lõike- ja tööriistade ning rauakaupade tootmine;
2571;Lõike- ja söögiriistade tootmine;2561;Lõike- ja söögiriistade tootmine;
25711;Lõike- ja söögiriistade tootmine;25611;Lõike- ja söögiriistade tootmine;
2572;Lukkude ja hingede tootmine;2562;Lukkude ja hingede tootmine;
25721;Lukkude ja hingede tootmine;25621;Lukkude ja hingede tootmine;
2573;Tööriistade tootmine;2563;Tööriistade tootmine;
25731;Valuvormide tootmine;25631;Tööriistade tootmine;
25739;Muude tööriistade tootmine;25631;Tööriistade tootmine;
259;Muude metalltoodete tootmine;259;Muude metalltoodete tootmine;
2591;Terasvaatide jms mahutite tootmine;2591;Terasvaatide jms mahutite tootmine;
25911;Terasvaatide jms mahutite tootmine;25911;Terasvaatide jms mahutite tootmine;
2592;Kergmetalltaara tootmine;2592;Kergmetalltaara tootmine;
25921;Kergmetalltaara tootmine;25921;Kergmetalltaara tootmine;
2593;Traaditoodete, kettide ja vedrude tootmine;2593;Traaditoodete, kettide ja vedrude tootmine;
25931;Traaditoodete, kettide ja vedrude tootmine;25931;Traaditoodete, kettide ja vedrude tootmine;
2594;Kinnituselementide ja keermestatud toodete tootmine;2594;Kinnituselementide ja keermestatud toodete tootmine;
25941;Kinnituselementide ja keermestatud toodete tootmine;25941;Kinnituselementide ja keermestatud toodete tootmine;
2599;Mujal liigitamata metalltoodete tootmine;2599;Mujal liigitamata metalltoodete tootmine;
25991;Mujal liigitamata metalltoodete tootmine;25991;Mujal liigitamata metalltoodete tootmine;
26;Arvutite, elektroonika- ja optikaseadmete tootmine;26;Arvutite, elektroonika- ja optikaseadmete tootmine;
261;Elektronkomponentide ja trükkplaatide tootmine;261;Elektronkomponentide ja trükkplaatide tootmine;
2611;Elektronkomponentide tootmine;2611;Elektronkomponentide tootmine;
26111;Elektronkomponentide tootmine;26111;Elektronkomponentide tootmine;
2612;Trükkplaatide tootmine;2612;Trükkplaatide tootmine;
26121;Trükkplaatide tootmine;26121;Trükkplaatide tootmine;
262;Arvutite ja arvuti välisseadmete tootmine;262;Arvutite ja arvuti välisseadmete tootmine;
262;Arvutite ja arvuti välisseadmete tootmine;264;Tarbeelektroonika tootmine;
2620;Arvutite ja arvuti välisseadmete tootmine;2620;Arvutite ja arvuti välisseadmete tootmine;
2620;Arvutite ja arvuti välisseadmete tootmine;2640;Tarbeelektroonika tootmine;
26201;Arvutite ja arvuti välisseadmete tootmine;26201;Arvutite ja arvuti välisseadmete tootmine;
26201;Arvutite ja arvuti välisseadmete tootmine;26401;Tarbeelektroonika tootmine;
263;Sideseadmete tootmine;263;Sideseadmete tootmine;
263;Sideseadmete tootmine;265;Mõõte- ja katseseadmete ning ajanäitajate tootmine;
2630;Sideseadmete tootmine;2630;Sideseadmete tootmine;
2630;Sideseadmete tootmine;2651;Mõõte-, katse- ja navigatsiooniseadmete tootmine;
26301;Sideseadmete tootmine;26301;Sideseadmete tootmine;
26301;Sideseadmete tootmine;26511;Mõõte-, katse- ja navigatsiooniseadmete tootmine ;
264;Tarbeelektroonika tootmine;264;Tarbeelektroonika tootmine;
2640;Tarbeelektroonika tootmine;2640;Tarbeelektroonika tootmine;
26401;Tarbeelektroonika tootmine;26401;Tarbeelektroonika tootmine;
265;"Mõõte-, katse- ja navigatsiooniseadmete tootmine; ajanäitajate tootmine";265;Mõõte- ja katseseadmete ning ajanäitajate tootmine;
265;"Mõõte-, katse- ja navigatsiooniseadmete tootmine; ajanäitajate tootmine";267;Optikainstrumentide, magnet- ja optiliste andmekandjate ning fotoseadmete tootmine;
2651;Mõõte-, katse- ja navigatsiooniseadmete tootmine;2651;Mõõte-, katse- ja navigatsiooniseadmete tootmine;
2651;Mõõte-, katse- ja navigatsiooniseadmete tootmine;2670;Optikainstrumentide, magnet- ja optiliste andmekandjate ning fotoseadmete tootmine;
26511;Mõõte-, katse- ja navigatsiooniseadmete tootmine;26511;Mõõte-, katse- ja navigatsiooniseadmete tootmine ;
26511;Mõõte-, katse- ja navigatsiooniseadmete tootmine;26701;Optikainstrumentide, magnet- ja optiliste andmekandjate ning fotoseadmete tootmine;
2652;Ajanäitajate tootmine;2652;Ajanäitajate tootmine;
26521;Ajanäitajate tootmine;26521;Ajanäitajate tootmine;
266;Kiiritus-, elektromeditsiini- ja elektroteraapiaseadmete tootmine;266;Kiiritus-, elektromeditsiini- ja elektroteraapiaseadmete tootmine;
2660;Kiiritus-, elektromeditsiini- ja elektroteraapiaseadmete tootmine;2660;Kiiritus-, elektromeditsiini- ja elektroteraapiaseadmete tootmine;
26601;Kiiritus-, elektromeditsiini- ja elektroteraapiaseadmete tootmine;26601;Kiiritus-, elektromeditsiini- ja elektroteraapiaseadmete tootmine;
267;Optikainstrumentide ja fotoseadmete tootmine;267;Optikainstrumentide, magnet- ja optiliste andmekandjate ning fotoseadmete tootmine;
2670;Optikainstrumentide ja fotoseadmete tootmine;2670;Optikainstrumentide, magnet- ja optiliste andmekandjate ning fotoseadmete tootmine;
26701;Optikainstrumentide ja fotoseadmete tootmine;26701;Optikainstrumentide, magnet- ja optiliste andmekandjate ning fotoseadmete tootmine;
268;Magnet- ja optiliste andmekandjate tootmine;267;Optikainstrumentide, magnet- ja optiliste andmekandjate ning fotoseadmete tootmine;
2680;Magnet- ja optiliste andmekandjate tootmine;2670;Optikainstrumentide, magnet- ja optiliste andmekandjate ning fotoseadmete tootmine;
26801;Magnetandmekandjate ja optiliste andmekandjate tootmine;26701;Optikainstrumentide, magnet- ja optiliste andmekandjate ning fotoseadmete tootmine;
27;Elektriseadmete tootmine;27;Elektriseadmete tootmine;
27;Elektriseadmete tootmine;28;Mujal liigitamata masinate ja seadmete tootmine;
27;Elektriseadmete tootmine;29;Mootorsõidukite, haagiste ja poolhaagiste tootmine;
27;Elektriseadmete tootmine;32;Muu tootmine;
271;Elektrimootorite, -generaatorite, trafode ja elektrijaotusseadmete ning juhtaparatuuri tootmine;271;Elektrimootorite, -generaatorite, trafode ja elektrijaotusseadmete ning juhtaparatuuri tootmine;
271;Elektrimootorite, -generaatorite, trafode ja elektrijaotusseadmete ning juhtaparatuuri tootmine;291;Mootorsõidukite tootmine;
2711;Elektrimootorite, -generaatorite ja trafode tootmine;2711;Elektrimootorite, -generaatorite ja trafode tootmine;
2711;Elektrimootorite, -generaatorite ja trafode tootmine;2910;Mootorsõidukite tootmine;
27111;Elektrimootorite, -generaatorite ja trafode tootmine;27111;Elektrimootorite, -generaatorite ja trafode tootmine;
27111;Elektrimootorite, -generaatorite ja trafode tootmine;29101;Mootorsõidukite tootmine;
2712;Elektrijaotusseadmete ja juhtaparatuuri tootmine;2711;Elektrimootorite, -generaatorite ja trafode tootmine;
2712;Elektrijaotusseadmete ja juhtaparatuuri tootmine;2712;Elektrijaotusseadmete ja juhtaparatuuri tootmine;
27121;Elektrijaotusseadmete ja juhtaparatuuri tootmine;27111;Elektrimootorite, -generaatorite ja trafode tootmine;
27121;Elektrijaotusseadmete ja juhtaparatuuri tootmine;27121;Elektrijaotusseadmete ja juhtaparatuuri tootmine;
272;Patareide ja akude tootmine;272;Patareide ja akude tootmine;
2720;Patareide ja akude tootmine;2720;Patareide ja akude tootmine;
27201;Patareide ja akude tootmine;27201;Patareide ja akude tootmine;
273;Juhtmestiku ja selle tarvikute tootmine;273;Juhtmestiku ja selle tarvikute tootmine;
2731;Kiudoptilise kaabli tootmine;2731;Kiudoptilise kaabli tootmine;
27311;Kiudoptilise kaabli tootmine;27311;Kiudoptilise kaabli tootmine;
2732;Muu elektroonika ja elektrijuhtme või -kaabli tootmine;2732;Muu elektroonika- ja elektrijuhtmete või -kaabli tootmine;
27321;Muu elektroonika ja elektrijuhtme või -kaabli tootmine;27321;Muu elektroonika- ja elektrijuhtmete või -kaabli tootmine;
2733;Juhtmestiku tarvikute tootmine;2733;Juhtmestiku tarvikute tootmine;
27331;Juhtmestiku tarvikute tootmine;27331;Juhtmestiku tarvikute tootmine;
274;Elektriliste valgustusseadmete tootmine;274;Valgustusseadmete tootmine;
2740;Elektriliste valgustusseadmete tootmine;2740;Valgustusseadmete tootmine;
27401;Elektriliste ja mitte elektriliste valgustite tootmine;27401;Valgustusseadmete tootmine;
275;Kodumasinate tootmine;275;Kodumasinate tootmine;
275;Kodumasinate tootmine;282;Muude üldmasinate tootmine;
2751;Elektriliste kodumasinate tootmine;2751;Elektriliste kodumasinate tootmine;
27511;Elektriliste kodumasinate tootmine;27511;Elektriliste kodumasinate tootmine;
2752;Mitteelektriliste kodumasinate tootmine;2752;Mitteelektriliste kodumasinate tootmine;
2752;Mitteelektriliste kodumasinate tootmine;2821;Ahjude, tööstusahjude ja kodumajapidamises kasutatavate püsikütteseadmete tootmine;
27521;Mitteelektriliste kodumasinate tootmine;27521;Mitteelektriliste kodumasinate tootmine;
27521;Mitteelektriliste kodumasinate tootmine;28211;Ahjude, tööstusahjude ja kodumajapidamises kasutatavate püsikütteseadmete tootmine;
279;Muude elektriseadmete tootmine;271;Elektrimootorite, -generaatorite, trafode ja elektrijaotusseadmete ning juhtaparatuuri tootmine;
279;Muude elektriseadmete tootmine;279;Muude elektriseadmete tootmine;
279;Muude elektriseadmete tootmine;293;Mootorsõidukite osade ja lisaseadmete tootmine;
279;Muude elektriseadmete tootmine;329;Mujal liigitamata tootmine;
2790;Muude elektriseadmete tootmine;2711;Elektrimootorite, -generaatorite ja trafode tootmine;
2790;Muude elektriseadmete tootmine;2790;Muude elektriseadmete tootmine;
2790;Muude elektriseadmete tootmine;2931;Mootorsõidukite elektri- ja elektroonikaseadmete tootmine;
2790;Muude elektriseadmete tootmine;3299;Muu mujal liigitamata tootmine;
27901;Muude elektriseadmete tootmine;27111;Elektrimootorite, -generaatorite ja trafode tootmine;
