Kood EMTAK 2008;Tegevusala tekst EMTAK 2008;Kood EMTAK 2025;Tegevusala tekst EMTAK 2025;Märkused
01431;Hobusekasvatus ja muude hobuslaste kasvatus;20151;Väetiste ja lämmastikuühendite tootmine;
0144;Kaamelikasvatus;0144;Kaamelikasvatus;
01441;Kaamelikasvatus;01441;Kaamelikasvatus;
0145;Lamba- ja kitsekasvatus;0145;Lamba- ja kitsekasvatus;
0145;Lamba- ja kitsekasvatus;2015;Väetiste ja lämmastikuühendite tootmine;
01451;Lamba- ja kitsekasvatus;01451;Lamba- ja kitsekasvatus;
01451;Lamba- ja kitsekasvatus;20151;Väetiste ja lämmastikuühendite tootmine;
0146;Seakasvatus;0146;Seakasvatus;
0146;Seakasvatus;2015;Väetiste ja lämmastikuühendite tootmine;
01461;Seakasvatus;01461;Seakasvatus;
01461;Seakasvatus;20151;Väetiste ja lämmastikuühendite tootmine;
0147;Kodulinnukasvatus;0147;Kodulinnukasvatus;
0147;Kodulinnukasvatus;2015;Väetiste ja lämmastikuühendite tootmine;
01471;Kodulinnukasvatus;01471;Kodulinnukasvatus;
01471;Kodulinnukasvatus;20151;Väetiste ja lämmastikuühendite tootmine;
0149;Muu loomakasvatus;0147;Kodulinnukasvatus;
0149;Muu loomakasvatus;0148;Muu loomakasvatus;
01491;Mesindus;01481;Mesindus;
01499;Muu loomakasvatus;01471;Kodulinnukasvatus;
01499;Muu loomakasvatus;01489;Muu loomakasvatus;
015;Segapõllumajandus;015;Segapõllumajandus;
0150;Segapõllumajandus;0150;Segapõllumajandus;
01501;Segapõllumajandus;01501;Segapõllumajandus;
016;Põllumajandust abistavad tegevusalad ja saagikoristusjärgsed tegevused;014;Loomakasvatus;
016;Põllumajandust abistavad tegevusalad ja saagikoristusjärgsed tegevused;016;Põllumajandust abistavad tegevusalad ja saagikoristusjärgsed tegevused;
0161;Taimekasvatuse abitegevused;0161;Taimekasvatuse abitegevused;
01611;Taimekasvatuse abitegevused;01611;Taimekasvatuse abitegevused;
0162;Loomakasvatuse abitegevused;0147;Kodulinnukasvatus;
0162;Loomakasvatuse abitegevused;0161;Taimekasvatuse abitegevused;
0162;Loomakasvatuse abitegevused;0162;Loomakasvatuse abitegevused;
01621;Loomakasvatuse abitegevused;01471;Kodulinnukasvatus;
01621;Loomakasvatuse abitegevused;01611;Taimekasvatuse abitegevused;
01621;Loomakasvatuse abitegevused;01621;Loomakasvatuse abitegevused;
0163;Saagikoristusjärgsed tegevused;0163;Saagikoristusjärgsed tegevused ja seemnete töötlemine paljundamiseks;
01631;Saagikoristusjärgsed tegevused;01631;Saagikoristusjärgsed tegevused ;
0164;Seemnete töötlemine paljundamiseks;0163;Saagikoristusjärgsed tegevused ja seemnete töötlemine paljundamiseks;
01641;Seemnete töötlemine paljundamiseks;01632;Seemnete töötlemine paljundamiseks;
017;Jahindus ja seda teenindavad tegevusalad;017;Jahindus ja seda teenindavad tegevusalad;
0170;Jahindus ja seda teenindavad tegevusalad;0170;Jahindus ja seda teenindavad tegevusalad;
01701;Jahindus ja seda teenindavad tegevusalad;01701;Jahindus ja seda teenindavad tegevusalad;
02;Metsamajandus ja metsavarumine;01;Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad;
02;Metsamajandus ja metsavarumine;02;Metsamajandus ja metsavarumine;
021;Metsakasvatus ja muud metsamajanduse tegevusalad;021;Metsakasvatus ja muud metsamajanduse tegevusalad;
0210;Metsakasvatus ja muud metsamajanduse tegevusalad;0210;Metsakasvatus ja muud metsamajanduse tegevusalad;
02101;Metsakasvatus ja muud metsamajanduse tegevusalad;02101;Metsakasvatus ja muud metsamajanduse tegevusalad;
022;Metsavarumine;022;Metsavarumine;
022;Metsavarumine;024;Metsamajandust abistavad tegevused;
0220;Metsavarumine;0220;Metsavarumine;
0220;Metsavarumine;0240;Metsamajandust abistavad tegevused;
02201;Metsaraie;02201;Metsavarumine;
02202;Küttepuude tootmine;02202;Küttepuude tootmine;
02202;Küttepuude tootmine;02401;Metsamajandust abistavad tegevused;
023;Looduslike materjalide kogumine, v.a puit;023;Loodussaaduste, v.a puidu varumine;
